iterations,fitness,time,fevals
3690,95.0,0.029268484,3701
3700,95.0,0.029320915,3711
3710,95.0,0.029355058,3721
3720,95.0,0.029387492,3731
3730,95.0,0.029419966,3741
3740,95.0,0.029458552,3751
3750,96.0,0.029491329,3761
3760,96.0,0.02952389,3771
3770,98.0,0.029560627,3781
3780,98.0,0.029595064,3791
3790,98.0,0.029628981,3801
3800,98.0,0.029664157,3811
3810,98.0,0.029699366,3821
3820,98.0,0.029731919,3831
3830,99.0,0.029763488,3841
3840,99.0,0.02979575,3851
3850,99.0,0.029829918,3861
3860,99.0,0.029865482,3871
3870,99.0,0.029897785,3881
3880,99.0,0.029929908,3891
3890,99.0,0.029963336,3901
3900,99.0,0.029995328,3911
3910,99.0,0.030027298,3921
3920,99.0,0.030072998,3931
3930,99.0,0.030106634,3941
3940,99.0,0.030138643,3951
3950,99.0,0.030172301,3961
3960,99.0,0.030217756,3971
3970,99.0,0.030250503,3981
3980,99.0,0.030282845,3991
3990,99.0,0.030315028,4001
4000,99.0,0.030349371,4011
4010,99.0,0.030432228,4021
4020,99.0,0.030449023,4031
4030,99.0,0.030464866,4041
4040,99.0,0.030484949,4051
4050,99.0,0.030502324,4061
4060,99.0,0.030518065,4071
4070,99.0,0.030533227,4081
4080,99.0,0.030548124,4091
4090,99.0,0.030563549,4101
4100,99.0,0.030580019,4111
4110,99.0,0.030595333,4121
4120,99.0,0.030610321,4131
4130,99.0,0.03062701,4141
4140,99.0,0.030642319,4151
4150,99.0,0.030657715,4161
4160,99.0,0.030672705,4171
4170,99.0,0.030687928,4181
4180,99.0,0.030703111,4191
4190,99.0,0.030718089,4201
4200,99.0,0.030732872,4211
4210,99.0,0.030748035,4221
4220,99.0,0.030765095,4231
4230,99.0,0.030779987,4241
4240,99.0,0.030798207,4251
4250,99.0,0.030813776,4261
4260,99.0,0.03082891,4271
4270,99.0,0.030844039,4281
4280,99.0,0.030859102,4291
4290,99.0,0.030874737,4301
4300,99.0,0.030890187,4311
4310,99.0,0.030908214,4321
4320,99.0,0.030923451,4331
4330,99.0,0.03093873,4341
4340,99.0,0.030953932,4351
4350,99.0,0.030969197,4361
4360,99.0,0.030984489,4371
4370,99.0,0.03099956,4381
4380,99.0,0.031014907,4391
4390,99.0,0.031045737,4401
4400,99.0,0.031063948,4411
4410,99.0,0.031079118,4421
4420,99.0,0.031094183,4431
4430,99.0,0.03112631,4441
4440,99.0,0.031162316,4451
4450,99.0,0.031177736,4461
4460,99.0,0.031193218,4471
4470,99.0,0.031208376,4481
4480,99.0,0.031223595,4491
4490,99.0,0.031239032,4501
4500,99.0,0.031254232,4511
4510,99.0,0.031269409,4521
4520,99.0,0.03128456,4531
4530,99.0,0.031299778,4541
4540,99.0,0.031315001,4551
4550,99.0,0.031330226,4561
4560,99.0,0.031345623,4571
4570,99.0,0.031360809,4581
4580,99.0,0.031375999,4591
4590,99.0,0.031391023,4601
4600,99.0,0.031408675,4611
4610,99.0,0.031423681,4621
4620,99.0,0.031444049,4631
4630,99.0,0.031459122,4641
4640,99.0,0.031495081,4651
4650,99.0,0.031510504,4661
4660,99.0,0.031525568,4671
4670,99.0,0.031561865,4681
4680,99.0,0.031578024,4691
4690,99.0,0.031593715,4701
